id_equipamento;tipo;ean;estoque;prazo_emprestimo;id_aluno
1;monitor hp;123456789012;1;6 meses;17
2;notebook dell ;555444332221;1;6 meses;32
3;notebook samsung;568754456745;1;6 meses;23
4;mouse hp;534657878588;1;6 meses;40
5;monitor hp;365674675688;1;6 meses;30
6;notebook samsung;456474773242;1;6 meses;15
7;notebook dell ;673784842124;1;6 meses;2
8;monitor hp;452852626466;1;6 meses;6
9;notebook samsung;252786957477;1;6 meses;7
10;notebook lg;242425366478;1;6 meses;25
11;notebook lg;979587464745;1;6 meses;3
12;notebook dell ;547375786845;1;6 meses;28
